Library Name,Categories,,,,,,,,,
,Arts & Crafts (+instruments),Electronics & Technology/ Audio/Visual Equipment,"Games (Video Games, Board Games, & Puzzles)",STEM & Science for Kids,Outdoor/Recreation,Tools & Repairs,Household/Kitchen,Health/Wellness,Kids/Early Literacy,Library Items Total
Wallingford Library,23,21,632,4,18,7,,,114,819
New Haven Free Public Library,26,10,39,8,,12,46,3,,144
Westport Public Library,12,42,20,2,5,41,8,,,130
New Milford Public Library,9,21,18,4,12,9,5,3,92,173
Hoboken Library,6,8,4,2,3,8,11,,,42
Montclair Library,4,12,16,16,5,21,,,,74
Union Public Library,24,12,25,7,31,10,50,,16,175
Hartford Public Library,58,140,11,,76,,82,1,,368
Mahwah Public Library,21,42,43,5,5,16,15,,,147
Bernards Free Public Library,7,25,115,4,19,20,,,155,345
Livingston Public Library,9,21,5,3,14,1,,,7,60
Onondaga Free Library,2,8,1,2,15,,,,15,43
Port Washington Public Library,9,2,5,1,52,,3,2,,74
Clinton Essex Franklin Library System,66,13,16,5,3,,35,98,202,438
Total,276,377,950,63,258,145,255,107,601,3032