Hartford Public Library (Total item count = 242),,,,,,,,,,,,,,,,,
State: Connecticut,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,
Link: https://hplct.libguides.com/libraryofthings ,,,,,,,,,,,,,,,,,
Arts & Crafts = 55,,Cards & Board Games = 11,,Cooking & Baking = 42,,Health & Wellness = 1,,Home Improvement = 40,,Music = 3,,Outdoors & Garden = 76,,Technology & Electronics = 140,,Category,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
"""Balloon Arch Kit""",4,Portable Chess Set & Guide,4,Air Fryer,1,Pair of Crutches,1,Bike Pump with Case,4,Tibetan Singing Bowl,2,Binoculars with Case,1,Camera Tripod with Bag,1,,
Beginner Knitting Kit,9,Tarot Kit: African American Tarot,1,Aleeza Cake Wonders Decorating Set,1,TOTAL ITEMS,1,Bike Repair Kit,2,Ukulele with Bag,1,Binoculars with Phone Adaptor,4,Disco Light,4,,
Button Maker,3,Tarot Kit for Beginners,1,Cake Icing Decorating Set,1,,,Car Code Reader,4,TOTAL ITEMS,3,Bocce Set with Bag,2,DVD Player with Case,5,,
Crochet Kit,2,Tarot Kit: Classic Tarot,1,Book Pan,2,,,Car Air Pump,4,,,Corn Hole,2,Karaoke Machine,2,,
Electric Balloon Pump,5,Tarot Kit: Easy Tarot,1,Bread Pan,2,,,EMF Tester Model MK08,1,,,Cricket Set,2,Mini Projector,6,,
Hand Loom & Portfolio Bag,3,Tarot Kit: Happy Tarot,1,Cuisinart Bundt Pan,1,,,Kill-A-Watt Meter,9,,,Fishing Pole With Spinning Reel & Extender with Bag,5,Podcast Kit,5,,
Knitting Accessories Kit,10,Tarot Kit: Magical Dogs,1,Cupcake / Muffin Pan,2,,,Power Station,4,,,Fishing Set (Plussino 150),11,Portable DVD Player with Case,2,,
Knitting Kit,5,Tarot Kit: Universal Tarot,1,Flower Pan,1,,,Stud Finder,6,,,Fishing Tackle Box,2,Projector Screen,3,,
Puzzle Mat,1,TOTAL ITEMS,11,Rectangular Cake Pan,1,,,Tool Set with Power Drill,5,,,Flag Football Set with 2 Extra Footballs,4,Ring Light with Tripod,2,,
Seed Bead Stringer & Needles,1,,,Spiral Heritage Bundt Pan,1,,,Car Fault Code Reader,1,,,Gardening Tool Set (Green),17,Vlogging Kit with Case,3,,
Sewing Machine,12,,,Star Pan,3,,,TOTAL ITEMS,40,,,Gardening Tool Set (Orange),3,Lord Hopbots Ozobots,7,,
TOTAL ITEMS,55,,,Wilton Bundt Fluted Tube Pan,1,,,,,,,Hiking Kit,1,Sphero 2.0: The App-Enabled Robot Ball,4,,
,,,,Wilton Heart Shaped Pan,1,,,,,,,Ladder Toss Set with Bag,2,Botzees Kit,4,,
,,,,9 Inch Round Cake Pan Set,1,,,,,,,Metal Detector with Case,2,Dash and Dot Robots Kit,8,,
,,,,Ball / Sphere Pan Set,1,,,,,,,Mölkky,2,Model: K11 Headphones (in-house use only),49,,
,,,,Cake Pops Mold Set,1,,,,,,,Pickleball Set with Bag,3,Computer Keybord (in-house use only),16,,
,,,,Countless Celebrations Pan Set,1,,,,,,,Ping Pong Table,2,Computer Mouse (in-house use only),19,,
,,,,Easy Layers Pan Set,1,,,,,,,Ring Toss,2,TOTAL ITEMS,140,,
,,,,Round Checkerboard Pan Set,1,,,,,,,Sports Ball Kit,2,,,,
,,,,Springform Pan Set,1,,,,,,,Telescope with Case,4,,,,
,,,,Alphabet Set (Cookie Cutters),1,,,,,,,Volleyball / Badminton Set,3,,,,
,,,,Animals Set,1,,,,,,,TOTAL ITEMS,76,,,,
,,,,Christmas Set,1,,,,,,,,,,,,
,,,,Easter Set,1,,,,,,,,,,,,
,,,,Geometric (Shape) Set,2,,,,,,,,,,,,
,,,,Halloween Set,1,,,,,,,,,,,,
,,,,Numbers Set,1,,,,,,,,,,,,
,,,,Transportation Set,1,,,,,,,,,,,,
,,,,Valentine’s Set,1,,,,,,,,,,,,
,,,,Cookie Sheet (Small),1,,,,,,,,,,,,
,,,,Hand Mixer,2,,,,,,,,,,,,
,,,,Pressure Cooker,2,,,,,,,,,,,,
,,,,Tobox Food Mixer,2,,,,,,,,,,,,
,,,,TOTAL ITEMS,42,,,,,,,,,,,,