Hoboken Free Public Library (Total item count = 42),,,,,,,,,,,,,,,
State: New Jersey,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,
Link: https://hobokenlibrary.org/library-of-things/,,,,,,,,,,,,,,,
Video Games = 4,,Music and Sound = 3,,Electronics = 8,,Kitchen Equipment = 11,,Science & STEM = 2,,Tools = 8,,Yard Games = 3,,Arts & Crafts = 3,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
atari flashback console ,1,portable record player ,1,Blu-ray disc player,1,bunny cake pan,1,binoculars ,1,air quality monitor,1,cornhole game,1,knitting loom set,2
entertainment system ,1,vintage record player,2,CD boombox,1,christmas tree cake pan,1,telescope,1,cordless drill,1,pickleball game set,2,yarn spooler,1
playstation classic ,1,TOTAL ITEMS,3,floppy disc reader,1,electric knife sharpener,1,TOTAL ITEMS,2,electric pressure washer,1,TOTAL ITEMS,3,TOTAL ITEMS,3
sega genesis mini ,1,,,universal travel adapter,2,flower cake pan,1,,,multi-purpose cleaner,1,,,,
TOTAL ITEMS,4,,,VHS player ,1,food thermometer,1,,,paper shredder,1,,,,
,,,,video capture adapter,1,heart cake pan ,1,,,stud finder,1,,,,
,,,,wrist blood pressure monitor,1,ice cream maker,1,,,TCS&EC Water quality tester,1,,,,
,,,,TOTAL ITEMS,8,jack-o-lantern cake pan,1,,,thermal imaging camera,1,,,,
,,,,,,portable grill ,1,,,TOTAL ITEMS,8,,,,
,,,,,,turkey cake pan,1,,,,,,,,
,,,,,,unicorn cake pan,1,,,,,,,,
,,,,,,TOTAL ITEMS,11,,,,,,,,