Montclair Public Library (Total item count = 85),,,,,,,,,,,,,,,,,
State: New Jersey,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,
"Link: https://montclairlibrary.org/borrow/things/ , https://docs.google.com/document/d/1x96STGPr0EA2_qYX9L73b9BpLM40laEG1pN4enpmfMg/edit?tab=t.0 ",,,,,,,,,,,,,,,,,
Arts & Crafts = 4,,Board Games = 16,,Electronics & Tech = 12,,Musical Instruments = 5,,Recreation = 5,,Science Kits = 8,,Steam Kits = 8,,Tools = 21,,Toys = 6,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
bazzler,1,apples to apples,1,bluetooth speaker,1,bass guitar & amp,1,giant connect four,1,Cloud investigations,1,Botley 2.0,1,Blood pressure machine,1,Busy board,1
crochet hooks,1,apples to apples junior,1,canon scanner,1,cigar box guitar,1,giant jenga,1,exploring biodiversity ,1,Code & Go Mouse,1,Brother sewing machine,1,Disney Tonie box,1
silhouette cameo 4,1,catan: cities & knights ,1,european plug travel adapter,1,otamatone,1,karaoke machine,1,globe at night,1,Keva Brain Builders,1,Canon EOS Rebel T7 DSLR Camera,1,Little Types story dream machine,1
yarn bowl ,1,chess set for beginners ,1,external cd/dvd writer/reader,1,ukulele,1,ping pong set and net,1,monitoring water quality ,1,Makey Makey,1,Car Detailing Kit,1,national geographic tonie box,1
TOTAL ITEMS,4,cindr board game,1,go pro hero 9,1,violin,1,sagesight tarot deck and guide,1,mosquito habitat tracker,1,Picasso Tiles,1,Carpet/Upholstery Cleaner,1,paw patrol tonie box,1
,,codenames,1,inflatable screen & projector,1,TOTAL ITEMS,5,TOTAL ITEMS,5,bug discovery activity kit,1,Sphero Mini,1,Co2 Monitor,1,princess tonie box,1
,,hanabi,1,kodak digital film scanner,1,,,,,microscope,1,Kid's Stethoscope,1,Coin counter,1,TOTAL ITEMS,6
,,kill doctor lucky,1,microphone,1,,,,,telescope,1,Switcheroo Coding Crew,1,cordless drill with 40 bits,1,,
,,mancala,1,portable radio/cd boombox,1,,,,,TOTAL ITEMS,8,TOTAL ITEMS,8,dremel,1,,
,,mariposa,1,speaker & microphones,2,,,,,,,,,green screen background,1,,
,,masque of the red death,1,video to digital converter,1,,,,,,,,,knife sharpener,1,,
,,the night case,1,TOTAL ITEMS,12,,,,,,,,,metal detector,1,,
,,ramen fury,1,,,,,,,,,,,pressure washer,1,,
,,superfight,1,,,,,,,,,,,Singer stylist sewing machine,1,,
,,tiny towns,1,,,,,,,,,,,stair climber hand truck,1,,
,,unstable unicorns,1,,,,,,,,,,,steam cleaner,1,,
,,TOTAL ITEMS,16,,,,,,,,,,,studfinder,1,,
,,,,,,,,,,,,,,2 person tent,1,,
,,,,,,,,,,,,,,thermal imaging camera,1,,
,,,,,,,,,,,,,,tire inflator,1,,
,,,,,,,,,,,,,,wet dry vac,1,,
,,,,,,,,,,,,,,TOTAL ITEMS,21,,