New Haven Free Public Library (Total item count = 144),,,,,,,,,,,,,
State: Connecticut,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,
Link: https://nhfpl.org/lot/ ,,,,,,,,,,,,,
Audio/Visual = 10,,Baking & Kitchen = 46,,Crafts & Hobbies = 26,,Games & Puzzles = 39,,Health & Wellness = 3,,Learning Kits = 8,,Tools = 12,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
Light box ,1,#1 Cake Pan,1,3D pen,1,10 days in africa,1,Exercise kit,1,Arduino kit,1,bike repair kit,1
Photo backdrop kit,1,3D Cruiser Cake Pan,1,binoculars,1,10 days in the USA,1,light therapy lamp,1,keva maker,1,car dent puller,2
Podcasting Kit,1,3D Egg Cake Pan,1,combo embroidery/sewing machine,1,3D puzzle,1,yoga mat,1,keva planks,1,engine fault code reader,1
Portable CD/DVD Drive,1,3D train cake pan,1,crochet basics kit,1,backseat drawing,1,TOTAL ITEMS,3,little bits,1,folding table,1
Projector & Screen,1,"9"" round cake pan",1,fabric cutting kit,1,battle of trafalgar puzzle,1,,,magnatiles,1,kill-a-watt electricity monitor,1
Projector Screen,1,Angel food cake pan,1,gardening bulb planter,1,battleship,1,,,MakeDo kit,1,laminator,1
Right light with stand,1,Barbie Cake pan 1,1,gardening ergonomic hand trowel,1,bohnanza,1,,,makey makey,1,lighted magnifier,1
Slide scanner,1,Barbie cake pan 2,1,gardening five-claw rake,1,chutes and ladders,1,,,raspberry pi ,1,safety basics kit,1
Small tripod,1,book cake pan,1,gardening handheld hoe/weeder,1,blue,1,,,TOTAL ITEMS,8,screwdriver kit,1
USB microphone,1,bundt pan,1,gardening handheld rake,1,cold case: the end of the line,1,,,,,stud finder,1
TOTAL ITEMS,10,bunny cake pan,1,gardening kit,1,connect four,1,,,,,travel kit,1
,,buzz lightyear cake pan,1,gardening knee pad,1,country christmas puzzle,1,,,,,TOTAL ITEMS,12
,,cake decorating kit,1,gardening soil cultivator,1,dominos,1,,,,,,
,,castle cake pan,1,gardening transplant shovel,1,five crowns,1,,,,,,
,,christmas tree cake pan,1,gardening tub with handles,1,guess who,1,,,,,,
,,clown cake pan,1,gardening watering can,1,blunderful,1,,,,,,
,,colander,1,handheld trowel,1,jenga,1,,,,,,
,,darth vader cake pan,1,heavy duty sewing machine,1,jeopardy,1,,,,,,
,,dora the explorer cake pan,1,hot glue gun,1,"lions, tigers, bears, oh my puzzle",1,,,,,,
,,elmo cake pan,1,jewelry stand,1,mancala,1,,,,,,
,,fish spatula,1,knitting basics kit,1,monopoly,1,,,,,,
,,football cake pan,1,light pad,1,once upon a time puzzle,1,,,,,,
,,gingerbread man cake pan,1,sewing machine,1,playing cards,2,,,,,,
,,hexagon cake pan,1,soldering kit,1,quiddler junior,1,,,,,,
,,holiday cookie cutters,1,task light,1,qwirkle,1,,,,,,
,,jack-o-lantern cake pan,1,wacom drawing tablet,1,rubiks cube,1,,,,,,
,,kitten cake pan,1,TOTAL ITEMS,26,scattergories junior,1,,,,,,
,,lighting mcqueen cake pan,1,,,scrabble,1,,,,,,
,,loaf pan,1,,,sequence,1,,,,,,
,,mini cozy village cake pan,1,,,settlers of catan ,1,,,,,,
,,mini muffin/tartlet pan,1,,,spontuneous,1,,,,,,
,,mini snowmen cake pan,1,,,stratego,1,,,,,,
,,mini teddy bear cake pan,1,,,the game of knowledge,1,,,,,,
,,pony cake pan,1,,,the game of life,1,,,,,,
,,round checkerboard cake pan,1,,,trivial pursuit,1,,,,,,
,,scooby-doo cake pan,1,,,winter's solitude puzzle,1,,,,,,
,,small baking dish,1,,,wire puzzles,1,,,,,,
,,spiderman cake pan,1,,,word on the street,1,,,,,,
,,sportsball cake pan,1,,,TOTAL ITEMS,39,,,,,,
,,springform pan,1,,,,,,,,,,
,,square pan,1,,,,,,,,,,
,,steamer set,1,,,,,,,,,,
,,t-shirt cake pan,1,,,,,,,,,,
,,teddy bear cake pan,1,,,,,,,,,,
,,thomas the tank engine cake pan,1,,,,,,,,,,
,,winnie the pooh cake pan,1,,,,,,,,,,
,,TOTAL ITEMS,46,,,,,,,,,,