New Milford Library (Total item count = 173),,,,,,,,,,,,,,,,,
State: Connecticut,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,
Link: https://newmilfordlibrary.org/library-of-things/,,,,,,,,,,,,,,,,,
STEM = 4,,Games = 18,,Tools = 9,,Arts/Crafts = 9,,Outdoors = 12 ,,Household/Kitchen = 5,,Kids = 92,,Electronic = 21,,Kit = 3,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
measuring light in the night,1,giant jenga,1,kill a watt eletricity usage monitor,1,glue gun,5,hiking backpack kit,1,3 tier cupcake carrier,1,marbleworks,1,ring light and stand phone holder,1,healing library kit: separation and divorce,1
observing pollinators ,1,abducktion,1,bike repair and tire pump,1,thumb piano kit,1,bocce ball,1,coin sorter,1,snap circuits,2,boombox ,2,healing kit: death of a loved one,1
exploring biodiversity,1,adventure land,1,stud finder,1,ukulele,1,cornhole,2,greenscreen backdrop,1,tonibox,89,remote control tripod,1,healing kit: death of a pet,1
telescope,1,azul,1,folding handtruck,1,steel tongue drum,1,birding backpack,1,page magnifier,2,TOTAL ITEMS,92,digital voice recorder,4,TOTAL ITEMS,3
TOTAL ITEMS,4,backgammon,1,combo tool set,1,electric keyboard piano ,1,igloo playmate cooler,1,TOTAL ITEMS,5,,,tablet mount,1,,
,,balderdash,1,grabber reacher,1,TOTAL ITEMS,9,pickleball and badminton,2,,,,,magnifying lamp,1,,
,,giant connect 4 ,1,metal detector,1,,,spikeball,2,,,,,portable video player,1,,
,,giant connect 4 ,1,car code reader,1,,,trekking poles,2,,,,,digital webcam,1,,
,,stay sharp (video),1,money counter machine,1,,,TOTAL ITEMS,12,,,,,UV light sanitizer wand,1,,
,,think quick,1,TOTAL ITEMS,9,,,,,,,,,wireless charger,1,,
,,puzzles,6,,,,,,,,,,,portable speaker,1,,
,,poker set ,1,,,,,,,,,,,walkie talkies,1,,
,,giant yahtzee ,1,,,,,,,,,,,projector,1,,
,,TOTAL ITEMS,18,,,,,,,,,,,projector screen,1,,
,,,,,,,,,,,,,,plug adapter,1,,
,,,,,,,,,,,,,,travel adapter,1,,
,,,,,,,,,,,,,,portable karaoke machine,1,,
,,,,,,,,,,,,,,TOTAL ITEMS,21,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
wi-fi hotspots,,,,,,,,,,,,,,,,,
telescope,,,,,,,,,,,,,,,,,
outdoor games,,,,,,,,,,,,,,,,,
board games,,,,,,,,,,,,,,,,,
pickleball gear,,,,,,,,,,,,,,,,,
car code reader,,,,,,,,,,,,,,,,,
hiking poles,,,,,,,,,,,,,,,,,
puzzles,,,,,,,,,,,,,,,,,
metal detector,,,,,,,,,,,,,,,,,
coin and bill counters,,,,,,,,,,,,,,,,,
video projector,,,,,,,,,,,,,,,,,
musical instruments ,,,,,,,,,,,,,,,,,
birding backpack,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
outdoor,,,,,,,,,,,,,,,,,