Onondaga Free Library (Total item count = 44),,,,,,,,,,,,,,,,,
State: New York,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,
Link: https://oflibrary.org/technology/library-of-things/ ,,,,,,,,,,,,,,,,,
General = 44,,Category,,Category,,Category,,Category,,Category,,Category,,Category,,Category,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
Birdwatching Kit,1,,,,,,,,,,,,,,,,
Empire Passes - New York State Parks Passes,11,,,,,,,,,,,,,,,,
Explore Outdoors - Onondaga County Park Passes,2,,,,,,,,,,,,,,,,
Ghost Hunting Kit,1,,,,,,,,,,,,,,,,
GoPro Hero 10 Kit,1,,,,,,,,,,,,,,,,
Hiking Kit,1,,,,,,,,,,,,,,,,
Insignia Mini Projector,1,,,,,,,,,,,,,,,,
Jewelry Making Kit,1,,,,,,,,,,,,,,,,
Karaoke Machine,1,,,,,,,,,,,,,,,,
Knitting Kit,1,,,,,,,,,,,,,,,,
MOST Pass,1,,,,,,,,,,,,,,,,
MiFi Mobile Hotspot,1,,,,,,,,,,,,,,,,
Observing Pollinators Citizen Science Kit,1,,,,,,,,,,,,,,,,
Roku Express loaded with pre-paid subscriptions,1,,,,,,,,,,,,,,,,
Storytime to Go Kits,14,,,,,,,,,,,,,,,,
Tech Pack - Chromebook & Mobile Hotspot,3,,,,,,,,,,,,,,,,
Toniebox,1,,,,,,,,,,,,,,,,
Video to Digital Converter,1,,,,,,,,,,,,,,,,
TOTAL ITEMS,44,,,,,,,,,,,,,,,,