Community,State,Library,Categories Used by Library to Organize LoT,Link,USDA Rural Classification
Wallingford,Connecticut,Wallingford Library,"Arts Equipment, board games, children's kits, jigsaw puzzles, lawn games, STEM equipment, technology devices, tools, video games",https://www.wallingfordlibrary.org/things?combine=&field_eg_category_target_id%5B257%5D=257&page=1,Metropolitan area
New Haven,Connecticut,New Haven Free Public Library,"Audio/visual, baking and kitchen, craft and hobby, games and puzzles, health and wellness, learning kits, tools",https://nhfpl.org/lot/,Metropolitan area
Westport,Connecticut,Westport Public Library,"art and crafts, board games, equipment, fitness, kitchen, media, puzzles, recreation, science and technology",https://westportlibrary.org/resources/library-of-things/,Non-metro area
New Milford,Connecticut,New Milford Public Library,"STEM, Games, Tools, Arts/Crafts, Outdoors,  Household/Kitchen, Kids, Electronic, Kit",https://newmilfordlibrary.org/library-of-things/,Non-metro area
Hoboken,New Jersey,Hoboken Library,"Video games, music and sound devices, eletronics, kitchen equipment, science and STEM items, tools, yard games, arts and crafts",https://hobokenlibrary.org/library-of-things/ ,Non-metro area
Montclair,New Jersey,Montclair Library,"Arts & Crafts, Board Games, Electronics & Tech, Musical Instruments, Recreation, Science Kits, Steam Kits, Tools, Toys",https://montclairlibrary.org/borrow/things/,Non-metro area
Jersey City,New Jersey,Union Public Library,"Instruments, Hobbies & Crafts, Kitchen, Travel, Entertainment, Home Gym, Board Games, Electronic Games, Card Games, Household, Tools & Repair, Outdoor & Sports, Work from Home",https://uplnj.org/library-of-things/,Metropolitan area
Hartford,Connecticut,Hartford Public Library,"Arts & Crafts, Cards & Board Games, Cooking & Baking, Health & Wellness, Home Improvement, Music, Outdoors & Garden, Technology & Electronics",https://hplct.libguides.com/libraryofthings ,Metropolitan area
Mahwah,New Jersey,Mahwah Public Library,"Arts & Crafts, Cards & Board Games, Cooking & Baking, Health & Wellness, Home Improvement, Music, Outdoors & Garden, Technology & Electronics",https://www.mahwahlibrary.org/library-of-things/devices-things/,Non-metro area
Bernards,New Jersey,Bernards Free Public Library,"Adventure, Assistive Tech, Celebration, Hobbies, Museum Passes, Music, S.T.E.M., Technology, Tools, Toys & Games",https://www.bernardslibrary.org/libraryofthings,Non-metro area
Livingston,New Jersey,Livingston Public Library,"Arts & Crafts, Electronics & Technology, Games & Hobbies, Games: Outdoor, Music, Musical Instruments, Recreation, Science & Maker, Technology, Tools, Toys, Yard Games",https://livingstonlibrary.org/library-of-things/,Non-metro area
Onondaga,New York,Onondaga Free Library,General (no categories),https://oflibrary.org/technology/library-of-things/,Non-metro area
Port Washington ,New York,Port Washington Public Library,"Museum Passes, Arts & Crafts, Board Games, Electronics & Technology, Games: Outdoor, Health; Health, Home & Auto, Household, Musical Instruments, Recreation, Science & Education, Video Games",https://www2.museumkey.com/things/byCategory/?code=portny11050&branchID=204,Metropolitan area
Essex County,New York,Clinton Essex Franklin Library System,"Baking Pans, Book Club in a Bag, Coding Kit, Empowering Girls Kits, Experience Kit, Fishing Pole Kits, Flannel Board Kit, Jump Start Early Literacy Kit, Let's Make Music Kit, Let's Play Games Kit, Makers Kit, Mother Goose Big Idea Kits, Photography Kit, Prep for Success Kit, Sensory Kit, Sewing Machines, VR Headsets, Weighted Blanket, WiFi Hotspot, Wonderbook,",https://cefls.org/library-of-things/,Rural area