Union Public Library (Total item count = 175),,,,,,,,,,,,,,,,,,,,,,,,,,,
State: New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link: https://uplnj.org/library-of-things/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments = 8,,Hobbies & Crafts = 16,,Travel = 11,,Entertainment = 12,,Home Gym = 6,,Board Games = 12,,Electronic Games = 7,,Card Games = 13,,Kitchen = 23,,Work From Home = 11,,Outdoor & Sports = 20,,Tools & Repairs = 10,,Household = 10,,LOT: Junior = 16,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
Ukulele,1,microscope,1,luggage scale,1,Dreidel,1,kettlebell converter,1,taboo,1,Switch lite,1,cards against humanity ,1,hanukkah cookie cutters,1,microphone,1,binoculars,1,headlamp,1,travel steamer,1,tracing board ,1
Acoustic guitar,1,easel,1,portable radio,1,party lights,1,ab wheel,1,twister,1,interactive dance mat,1,uno ,1,christmas cookie cutters,1,label maker,1,telescope,1,stud finder,1,iron,1,busy board,1
electric guitar,1,paper cutter,1,portable butane stove,1,karaoke machine,1,pushup handles,1,telestrations,1,loop lasso nano,1,monopoly deal,1,number cookie cutters,1,paper shredder,1,compass,1,tire compressor,1,digital scale,1,soft busy board book ,1
bass guitar,1,puzzle mat,1,portable electric kettle,1,record player,1,weighted hula hoop,1,bananagrams,1,laser tag,1,skull,1,alphabet cookie cutters,1,ring light ,1,meta detector,1,power drill,1,pet scale,1,bubble blaster,1
otamatone,1,cricut,1,portable CD/DVD player,1,wireless speaker,1,balance board,1,codenames,1,ps5,1,sushi go,1,valentine's day cookie cutters,1,multi-port charger,1,pickleball set,1,electric sander,1,white noise machine,1,megablocks,1
electronic drum set,1,rotary cutting set,1,handheld fan,1,vlogging kit,1,resistance bands,1,catchphrase,1,bop it,1,lyrically correct (music trivia) ,1,dog cookie cutters,1,charging tower,1,ladder ball ,1,universal socket set,1,electric warming plate,1,puppet theatre,1
MIDI controller,1,apple pencil gen 1,1,cooler bag,1,external DVD drive,1,TOTAL ITEMS,6,guess who? ,1,nex playground,1,taco cat goat cheese pizza,1,football cookie cutters,1,coffee mug warmer,1,croquet set,1,bike repair kit,1,film to digital converter,1,shape sorter,1
piano keyboard,1,apple pencil gen 2,1,door lock,1,blu ray/dvd player,1,,,chess,1,TOTAL ITEMS,7,find & seek: scavenger hunt,1,heart cake pan ,1,external webcam,1,badminton set,1,bike tire pump ,1,magnifying sheet,1,rocket launcher ,1
TOTAL ITEMS,8,crochet hooks,1,plug adapter,1,portable northern lights,1,,,apples to apples,1,,,what do you meme,1,castle cake pan,1,padfolio ,1,portable table tennis,1,magnetic pickup tool kit ,1,photo scanner,1,marble run ,1
,,"knitting needles, straight",1,hand warmers,1,camcorder,1,,,connect 4,1,,,conversation cards,1,mickey mouse cake pan,1,thermal label printer,1,disc golf set,1,toolkit,1,mini projector,1,big knob puzzles,1
,,"knitting needles, circular",1,portable power bank,1,kendama,1,,,dungeons & dragons,1,,,scramble squares ,1,paw print cake pan,1,magnetic fidget stones ,1,flying disc,1,mini chainsaw,1,TOTAL ITEMS,10,children's percussion kit ,1
,,acrylic markers,1,TOTAL ITEMS,11,bubble machine,1,,,pictureka,1,,,stress relief and affirmation cards,1,wreath pan,1,TOTAL ITEMS,11,foldable grabber,1,TOTAL ITEMS,10,,,letter sorter puzzle,1
,,drawing robot,1,,,TOTAL ITEMS,12,,,TOTAL ITEMS,12,,,mindfulness cards,1,cake box,1,,,solar power bank,1,,,,,toss n catch ,1
,,uv nail lamp,1,,,,,,,,,,,TOTAL ITEMS,13,cookie press,1,,,gardening tools,1,,,,,color sorting puzzle,1
,,nail dust collector,1,,,,,,,,,,,,,cookie press disks,1,,,jumbo checkers,1,,,,,leapfrog words book,1
,,buddha board ,1,,,,,,,,,,,,,baking set 1 ,1,,,jumbo connect 4,1,,,,,stikbots,1
,,TOTAL ITEMS,16,,,,,,,,,,,,,baking set 2,1,,,jumbo jenga,1,,,,,TOTAL ITEMS,16
,,,,,,,,,,,,,,,,baking set 3,1,,,soil meter,1,,,,,,
,,,,,,,,,,,,,,,,baking set 4,1,,,bocce ball ,1,,,,,,
,,,,,,,,,,,,,,,,hand mixer,1,,,collapsible wagon,1,,,,,,
,,,,,,,,,,,,,,,,knife sharpener,1,,,TOTAL ITEMS,20,,,,,,
,,,,,,,,,,,,,,,,jar opener,1,,,,,,,,,,
,,,,,,,,,,,,,,,,digital food scale,1,,,,,,,,,,
,,,,,,,,,,,,,,,,TOTAL ITEMS,23,,,,,,,,,,