Wallingford Library (Total item count = 819),,,,,,,,,,,,,,,,,
State: Connecticut,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,
Link: https://www.wallingfordlibrary.org/things?combine=&field_eg_category_target_id%5B257%5D=257&page=1,,,,,,,,,,,,,,,,,
Arts Equipment = 23,,Board Games = 69,,Children's Kits = 114,,Jigsaw Puzzles = 36,,Lawn Games = 18,,STEM Equipment = 4 ,,Technology Devices = 21,,Tools = 7,,Video Games = 527,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
"15"" Cricket loom ",1,Acquire,1,Nature Corner Backpacks,10,300-piece puzzles,5,Bocce,1,Astronomy binoculars,1,Auto Code Scanner,1,Auto-Leveling Laser and Stud Sensor,1,Nintendo Games,184
AccuQuilt GO! Me,1,Anomia,1,Parenting Kits,22,500-piece puzzles,10,Cornhole,1,Gravitrax Set,1,Canon PowerShot Digital Camera,1,Bike Repair Kit,1,PlayStation Games,231
Block Printing Toolkit,1,Apples To Apples,1,Reading Readiness Kits,14,750-piece puzzles,1,Croquet,1,Mechanical Coding Robot,1,Chromebook + Hotspot Kit,1,Dremel,1,XBox Games,112
Brother Sewing Machine,1,"Been There, Done That",1,Red Bags,68,"1,000-piece puzzles",20,Giant Dice,1,Solar Robot,1,Foldable Portable Microscope,1,Electric Staple Gun,1,TOTAL ITEMS,527
Clay Bead Spinner,1,Betrayal at House on the Hill,1,Toys,1*,Puzzle Mat,1*,Giant 4 Connect,1,TOTAL ITEMS,4,GoPro Hero 11,1,Heat Gun,1,,
Djembe Drums,2,Blockbuster,1,Wonder Room Kits,1*,Giant Stow & Go puzzle mat,1*,Giant Tumbling Timbers,1,,,Hiking GPS,1,Sound Level Meter,1,,
French Box Easel ,1,boop,1,TOTAL ITEMS,114,TOTAL ITEMS,36,Frescobol,1,,,Home Theater Projector,1,Thermal Leak Detector,1,,
i-Cord Knitting Machine,1,Boss Monster,1,,,,,Kan-Jam,1,,,Kill a Watt Energy Meter,1,TOTAL ITEMS,7,,
Knitting Machine,1,Bring Your Own Book,1,,,,,Kubb,1,,,Long-Range Binoculars,1,,,,
Learn How to Crochet Kit ,1,Carcassonne,1,,,,,Ladder Toss,1,,,Metal Detector,1,,,,
Learn How to Knit Kit,1,Cat Lady,1,,,,,Lawn Dominoes,1,,,Panasonic Lumix Bridge Camera,1,,,,
Learn How to Weave Kit,1,Catan,1,,,,,Outdoor Chess,1,,,Projector Screen,1,,,,
Leathercraft Tools ,1,Catan Seafarers Expansion,1,,,,,Party Fun Pack: Field Day Games,1,,,Slide Scanner,1,,,,
Light Board,1,Clue,1,,,,,Pickleball,1,,,Solar Power Bank,1,,,,
Magnifiying Light ,1,Codenames,1,,,,,Ring Toss,1,,,Synthesizer,1,,,,
Polymer Clay Toolset,1,Cottage Garden,1,,,,,Scatter,1,,,Teen Elegato Stream Deck,1,,,,
Pompom Makers,1,Dixit,1,,,,,Slammo,1,,,Teen Streamling Light & Camera,1,,,,
Quick Sew Machine,1,Fluxx,1,,,,,Washers,1,,,Teen Yeti Microphone,1,,,,
Ring Light with Tripod ,1,Forbidden Island,1,,,,,TOTAL ITEMS,18,,,Telescope,1,,,,
Tripod,1,Genotype,1,,,,,,,,,USB Microphone,1,,,,
Ukelele,1,Jenga,1,,,,,,,,,Wi-fi Hotspot,1,,,,
Yarn Ball Winder,1,Mariposas,1,,,,,,,,,TOTAL ITEMS,21,,,,
TOTAL ITEMS,23,Monopoly: Longest Game Ever,1,,,,,,,,,,,,,,
,,Moop’s Monster Mashup,1,,,,,,,,,,,,,,
,,Munchkin Deluxe,1,,,,,,,,,,,,,,
,,No Stress Chess,1,,,,,,,,,,,,,,
,,One Night Ultimate Werewolf,1,,,,,,,,,,,,,,
,,Pandemic,1,,,,,,,,,,,,,,
,,Photosynthesis,1,,,,,,,,,,,,,,
,,Pinch ‘n’ Pass,1,,,,,,,,,,,,,,
,,Plunder,1,,,,,,,,,,,,,,
,,Princess Bride: Adventure Book Game,1,,,,,,,,,,,,,,
,,Quacks of Quedlinburg,1,,,,,,,,,,,,,,
,,Risk,1,,,,,,,,,,,,,,
,,Scattergories,1,,,,,,,,,,,,,,
,,Scrabble,1,,,,,,,,,,,,,,
,,Superfight,1,,,,,,,,,,,,,,
,,Taco Cat Goat Cheese Pizza,1,,,,,,,,,,,,,,
,,Ticket to Ride,1,,,,,,,,,,,,,,
,,Trekking the National Parks,1,,,,,,,,,,,,,,
,,Trekking Through History,1,,,,,,,,,,,,,,
,,Villainous,1,,,,,,,,,,,,,,
,,Wingspan,1,,,,,,,,,,,,,,
,,Don’t Let the Bugs Fall,1,,,,,,,,,,,,,,
,,The Floor is Lava,1,,,,,,,,,,,,,,
,,Found it! Mega Pack,1,,,,,,,,,,,,,,
,,Guess in 10: Animals,1,,,,,,,,,,,,,,
,,Guess Who?,1,,,,,,,,,,,,,,
,,Hedbanz,1,,,,,,,,,,,,,,
,,Kerplunk,1,,,,,,,,,,,,,,
,,Outfoxed,1,,,,,,,,,,,,,,
,,Suspend,1,,,,,,,,,,,,,,
,,Taco vs. Burrito,1,,,,,,,,,,,,,,
,,Zingo,1,,,,,,,,,,,,,,
,,Abducktion,1,,,,,,,,,,,,,,
,,Bedlam in Neverwinter,1,,,,,,,,,,,,,,
,,Clue: Conspiracy,1,,,,,,,,,,,,,,
,,Do You Really Know Your Family?,1,,,,,,,,,,,,,,
,,Dungeon Mayhem,1,,,,,,,,,,,,,,
,,Herd Mentality,1,,,,,,,,,,,,,,
,,Hunt a Killer Mystery: Murder at the Motel,1,,,,,,,,,,,,,,
,,Liar Liar,1,,,,,,,,,,,,,,
,,Nancy Drew: Mystery at Magnolia Gardens,1,,,,,,,,,,,,,,
,,Poop,1,,,,,,,,,,,,,,
,,Uno Dare!,1,,,,,,,,,,,,,,
,,Unstable Unicorns,1,,,,,,,,,,,,,,
,,You Laugh You're Out,1,,,,,,,,,,,,,,
,,Zombie Kittens,1,,,,,,,,,,,,,,
,,Tabletop RPG kit,1,,,,,,,,,,,,,,
,,TOTAL ITEMS,69,,,,,,,,,,,,,,